yyyy-mm-dd,Daily Minimum Near-Surface Air Temperature(K),Daily Maximum Near-Surface Air Temperature(K),Daily Mean Near-Surface Specific Humidity(kgkg-1),vpd(kPa),Precipitation(mm)
2009/9/7,285.000671,296.918518,0.010406,0.59,0
2009/9/8,284.011078,296.330841,0.009321,0.66,0
2009/9/9,281.021576,301.392822,0.008389,1.18,0
2009/9/10,284.039398,302.01001,0.009996,1.13,0
2009/9/11,285.424042,300.763916,0.009309,1.15,0
2009/9/12,278.90271,298.009125,0.006996,0.97,0
2009/9/13,283.052856,301.881927,0.008937,1.23,1.683762
2009/9/14,281.970367,295.494934,0.00855,0.62,0
2009/9/15,278.204834,300.948273,0.006939,1.26,0
2009/9/16,283.209961,303.803284,0.009507,1.38,0
2009/9/17,286.387207,301.955353,0.011505,1.01,3.306643
2009/9/18,287.97052,297.995819,0.012323,0.55,5.878747
2009/9/19,283.490051,292.15683,0.009325,0.31,3.232583
2009/9/20,277.053711,289.847809,0.005873,0.46,0
2009/9/21,275.163086,291.60437,0.005071,0.64,0
2009/9/22,275.193481,290.938599,0.005482,0.54,0
2009/9/23,279.542328,294.103424,0.006577,0.72,0
2009/9/24,276.921661,288.617432,0.005711,0.41,0
2009/9/25,276.856384,289.371613,0.005778,0.44,0
2009/9/26,276.567413,289.034241,0.00611,0.36,0.491624
2009/9/27,273.048279,287.974976,0.004967,0.39,0
2009/9/28,272.991913,287.633148,0.004797,0.39,0
2009/9/29,273.417847,289.010834,0.005143,0.43,0
2009/9/30,282.13028,287.743408,0.007108,0.32,13.614388
2009/10/1,280.015411,292.086792,0.009369,0.17,65.22403
2009/10/2,275.754761,289.493408,0.005668,0.43,0
2009/10/3,279.549713,290.929352,0.006671,0.48,2.51342
2009/10/4,279.807709,292.006348,0.007061,0.5,0.995846
2009/10/5,280.181183,292.657867,0.005959,0.73,0
2009/10/6,274.848633,287.916779,0.004723,0.46,0
2009/10/7,276.474579,293.449249,0.004968,0.82,0
2009/10/8,280.939911,298.892395,0.007608,1.03,1.276906
2009/10/9,279.448303,290.884186,0.007737,0.32,16.329977
2009/10/10,274.017273,289.088104,0.005292,0.42,0
2009/10/11,280.055908,289.919678,0.007431,0.32,1.768016
2009/10/12,280.656464,288.516693,0.008448,0.11,15.082117
2009/10/13,275.425537,282.209717,0.004483,0.25,5.265345
2009/10/14,273.196716,280.949005,0.003681,0.27,0.896953
2009/10/15,270.805054,281.845978,0.003261,0.32,0.301756
2009/10/16,270.140198,286.266815,0.003294,0.5,0
2009/10/17,271.624329,284.941925,0.003898,0.37,0
2009/10/18,270.487274,286.40802,0.003959,0.41,0.428928
2009/10/19,273.89444,285.637177,0.004429,0.37,0
2009/10/20,268.601562,286.428375,0.00369,0.42,0
2009/10/21,274.359009,289.430573,0.004921,0.51,0
2009/10/22,273.636688,287.480621,0.004596,0.43,0
2009/10/23,272.671143,287.21167,0.004155,0.46,0
2009/10/24,277.038666,286.197784,0.005578,0.3,0
2009/10/25,277.68811,285.790436,0.006032,0.23,0.573884
2009/10/26,276.401276,287.787262,0.005676,0.35,0.344205
2009/10/27,277.843964,285.888397,0.006313,0.2,1.283282
2009/10/28,279.167389,285.407349,0.006898,0.13,2.959841
2009/10/29,275.658508,285.569183,0.00593,0.18,0.622791
2009/10/30,280.570953,291.595245,0.006988,0.51,0
2009/10/31,278.885284,295.124237,0.006412,0.8,0
2009/11/1,278.818176,294.943176,0.006259,0.81,0
2009/11/2,281.940918,293.158203,0.007558,0.59,6.439057
2009/11/3,281.914673,291.118958,0.008252,0.34,53.234413
2009/11/4,272.850464,278.426453,0.004017,0.13,5.963179
2009/11/5,270.65448,278.93512,0.00366,0.16,0.788309
2009/11/6,269.859344,279.385101,0.003018,0.25,0.620292
2009/11/7,269.294434,277.785309,0.002698,0.24,0
2009/11/8,268.756317,279.535614,0.002748,0.28,0
2009/11/9,270.852997,279.94812,0.003224,0.26,0
2009/11/10,269.139313,280.229736,0.002928,0.28,0.531631
2009/11/11,269.108673,276.015625,0.00286,0.16,0.616051
2009/11/12,264.082214,277.847015,0.001796,0.31,0
2009/11/13,269.827362,279.788147,0.003477,0.2,6.842032
2009/11/14,285.003174,289.255188,0.006816,0.57,29.537956
2009/11/15,273.603699,281.370972,0.004758,0.13,7.366179
2009/11/16,269.83313,277.186005,0.003327,0.14,0
2009/11/17,270.004913,286.980835,0.003635,0.48,0
2009/11/18,277.088959,288.276306,0.004595,0.56,1.904842
2009/11/19,276.393127,289.634979,0.00505,0.55,1.245561
2009/11/20,279.883911,289.538147,0.006847,0.38,2.796629
2009/11/21,279.67804,287.856995,0.007339,0.2,0.596873
2009/11/22,286.599487,288.275604,0.007755,0.45,19.369108
2009/11/23,272.225128,284.494263,0.004246,0.31,2.525027
2009/11/24,272.657471,284.667206,0.003202,0.48,0
2009/11/25,273.168335,284.172363,0.00409,0.34,0
2009/11/26,270.31311,287.874817,0.003565,0.54,0
2009/11/27,277.94696,281.241852,0.005189,0.18,3.638696
2009/11/28,273.599182,280.809967,0.004118,0.21,3.325696
2009/11/29,273.874634,279.780853,0.003685,0.25,0.87174
2009/11/30,269.976379,282.174866,0.002931,0.37,0
2009/12/1,275.354065,283.680267,0.002994,0.54,0
2009/12/2,269.701508,277.525726,0.002907,0.21,0
2009/12/3,270.490967,281.062134,0.003299,0.28,0.930521
2009/12/4,274.033173,280.639465,0.007058,0,21.28557
2009/12/5,272.784393,287.457733,0.005006,0.35,3.900468
2009/12/6,269.913361,273.156586,0.003195,0.06,11.199765
2009/12/7,263.9646,268.996643,0.003319,0,25.203436
2009/12/8,265.737122,278.652679,0.002595,0.23,0
2009/12/9,265.011475,273.561676,0.002499,0.1,0
2009/12/10,266.412689,277.211243,0.002729,0.18,0
2009/12/11,268.634247,275.709808,0.003247,0.09,1.579252
2009/12/12,271.949219,277.78479,0.003597,0.15,3.008018
2009/12/13,267.500671,274.268982,0.002608,0.13,0.296964
2009/12/14,263.09549,269.473175,0.002057,0.06,1.636339
2009/12/15,261.835388,272.514709,0.001787,0.15,0
2009/12/16,262.733765,271.064453,0.002089,0.08,0
2009/12/17,261.116455,267.760773,0.001641,0.07,1.78822
2009/12/18,259.130188,267.911163,0.0014,0.1,0
2009/12/19,259.051147,274.683838,0.001587,0.2,0
2009/12/20,267.119934,279.76178,0.002967,0.23,0
2009/12/21,273.089874,280.594482,0.00393,0.22,0.507065
2009/12/22,271.251801,284.097687,0.003937,0.32,0
2009/12/23,272.593506,281.647308,0.003937,0.25,0
2009/12/24,269.704346,279.389557,0.003604,0.16,0.785716
2009/12/25,264.867981,271.07016,0.001757,0.16,0
2009/12/26,265.174316,277.209442,0.002231,0.23,0
2009/12/27,260.793854,272.515869,0.002198,0.07,0.479742
2009/12/28,259.671997,265.079803,0.001303,0.08,0
2009/12/29,261.378632,273.135956,0.001653,0.18,0.907425
2009/12/30,269.877014,274.693573,0.003198,0.09,3.798881
2009/12/31,264.132294,277.141724,0.002287,0.21,0
2010/1/1,263.08963,273.287201,0.001813,0.17,0
2010/1/2,264.429016,277.62085,0.001989,0.27,0.498816
2010/1/3,270.435242,277.864471,0.002866,0.24,0.634471
2010/1/4,267.06134,274.745605,0.002596,0.14,1.95749
2010/1/5,270.650421,278.865814,0.003518,0.17,7.15289
2010/1/6,266.744415,275.083252,0.002367,0.18,0
2010/1/7,262.619415,271.575348,0.002234,0.07,1.245866
2010/1/8,257.683563,270.314301,0.001104,0.17,0
2010/1/9,260.154388,276.68692,0.001637,0.26,0
2010/1/10,266.682556,280.609528,0.00255,0.32,0
2010/1/11,270.114441,276.334045,0.002897,0.18,0
2010/1/12,263.681061,272.076721,0.001985,0.13,1.779605
2010/1/13,257.915222,265.085663,0.000908,0.12,0
2010/1/14,255.616287,264.258606,0.000737,0.12,0
2010/1/15,260.363068,277.807068,0.001328,0.34,0
2010/1/16,268.206268,279.049225,0.001992,0.37,0
2010/1/17,269.19986,277.823059,0.00257,0.26,0
2010/1/18,271.144196,274.835785,0.00292,0.16,18.202219
2010/1/19,269.353394,275.340027,0.002613,0.19,5.233447
2010/1/20,269.279938,277.226501,0.002543,0.25,0.51406
2010/1/21,266.622681,273.001465,0.002044,0.18,0
2010/1/22,262.661133,276.419312,0.001831,0.24,0
2010/1/23,270.208221,284.771332,0.002932,0.48,0
2010/1/24,275.609528,287.525024,0.003628,0.63,1.098195
2010/1/25,276.074982,284.863098,0.005023,0.3,0
2010/1/26,275.413177,281.595856,0.004237,0.27,10.707674
2010/1/27,271.803467,279.5672,0.003631,0.2,6.163189
2010/1/28,268.638153,277.43219,0.002553,0.24,0
2010/1/29,268.426025,273.980835,0.002487,0.16,0
2010/1/30,263.784821,271.582184,0.001709,0.16,0
2010/1/31,259.683319,268.898102,0.001422,0.11,0.727313
2010/2/1,265.381561,274.284088,0.002438,0.13,0.372229
2010/2/2,260.875854,271.848206,0.001565,0.16,0
2010/2/3,258.070587,266.341827,0.001006,0.12,0
2010/2/4,256.096619,270.450104,0.001128,0.16,0
2010/2/5,264.330414,276.569427,0.002896,0.1,0
2010/2/6,263.435944,271.971619,0.001492,0.2,0
2010/2/7,261.122101,278.699738,0.001915,0.28,0
2010/2/8,266.447174,274.988342,0.002303,0.18,0
2010/2/9,263.654266,275.243713,0.001636,0.25,0
2010/2/10,261.068604,276.368835,0.001595,0.26,0
2010/2/11,270.180237,281.038971,0.00302,0.32,3.068731
2010/2/12,261.114471,273.865845,0.001486,0.22,0
2010/2/13,260.188568,275.042938,0.001318,0.26,0
2010/2/14,268.087738,283.000488,0.003237,0.32,0
2010/2/15,269.537018,280.908783,0.003299,0.26,0
2010/2/16,265.333282,278.546112,0.001974,0.32,0
2010/2/17,267.463165,278.323578,0.002508,0.26,0
2010/2/18,267.301727,282.285736,0.002527,0.39,0
2010/2/19,272.225189,280.849426,0.003525,0.27,7.283615
2010/2/20,276.034668,284.392975,0.00404,0.43,2.06916
2010/2/21,270.455811,285.415497,0.003202,0.48,0
2010/2/22,275.771637,291.974731,0.004262,0.81,8.323128
2010/2/23,275.785034,288.212555,0.004492,0.54,0.791247
2010/2/24,271.722717,283.04303,0.002566,0.49,0
2010/2/25,267.024475,285.047058,0.002345,0.53,0
2010/2/26,275.468658,292.509613,0.004224,0.84,0
2010/2/27,277.158112,285.668915,0.005228,0.33,7.356311
2010/2/28,275.761444,293.951691,0.004689,0.88,1.609144
2010/3/1,276.811768,288.124084,0.004352,0.58,0
2010/3/2,270.551147,281.152588,0.00304,0.32,1.368457
2010/3/3,269.649994,279.80838,0.002533,0.34,0
2010/3/4,263.527618,275.508331,0.003321,0,15.03275
2010/3/5,265.636841,283.479614,0.002817,0.37,0.402987
2010/3/6,261.796143,273.621552,0.001347,0.24,0
2010/3/7,267.747375,277.974365,0.002481,0.26,0
2010/3/8,264.401093,283.008484,0.004429,0.09,5.708073
2010/3/9,282.656433,286.009857,0.006179,0.39,2.809972
2010/3/10,272.997467,291.183685,0.007187,0.24,7.147136
2010/3/11,273.176788,286.203918,0.003421,0.54,0
2010/3/12,271.223541,292.846893,0.004523,0.72,10.677633
2010/3/13,267.519073,288.827515,0.003288,0.59,6.386778
2010/3/14,262.288147,271.258728,0.001348,0.19,0
2010/3/15,260.772064,274.470764,0.001149,0.28,0
2010/3/16,267.927521,273.365082,0.002052,0.2,0
2010/3/17,270.503937,281.986572,0.003851,0.23,0.519396
2010/3/18,277.211884,281.221436,0.007674,0,4.819433
2010/3/19,276.943481,282.822662,0.007804,0,24.213192
2010/3/20,272.374146,288.551605,0.003594,0.62,0
2010/3/21,269.980896,282.207275,0.003158,0.34,0
2010/3/22,264.402161,276.016693,0.001466,0.31,0
2010/3/23,263.907043,275.417389,0.001441,0.29,1.214603
2010/3/24,271.749969,287.222931,0.003729,0.51,0.597986
2010/3/25,269.373016,290.038971,0.003357,0.68,0
2010/3/26,271.635559,282.307983,0.003425,0.33,0
2010/3/27,273.120667,277.97937,0.003626,0.18,5.261664
2010/3/28,274.845764,281.654816,0.004681,0.19,0.505864
2010/3/29,277.170074,288.85733,0.007231,0.2,17.783609
2010/3/30,282.522614,300.941772,0.010141,0.92,1.546245
2010/3/31,283.560303,302.160339,0.009416,1.21,1.068361
2010/4/1,276.327484,291.584747,0.005037,0.68,4.511212
2010/4/2,271.578705,290.681732,0.003129,0.8,0
2010/4/3,276.473541,287.070038,0.004353,0.52,0.40373
2010/4/4,269.544922,286.658966,0.002942,0.56,0
2010/4/5,273.450836,287.661346,0.004086,0.51,0.703885
2010/4/6,279.143341,289.402466,0.007064,0.32,22.867353
2010/4/7,276.160461,283.195709,0.005193,0.2,7.470567
2010/4/8,274.654572,288.104034,0.004129,0.56,0.659189
2010/4/9,272.117737,287.646301,0.003554,0.57,0
2010/4/10,275.394592,297.45575,0.004405,1.21,0
2010/4/11,278.773102,289.076294,0.00577,0.48,5.166334
2010/4/12,272.184387,285.276703,0.00299,0.54,0
2010/4/13,270.947296,288.272675,0.003089,0.65,0
2010/4/14,277.515045,288.977142,0.00574,0.44,34.200966
2010/4/15,275.412811,288.097198,0.00462,0.5,0
2010/4/16,276.609802,283.76001,0.003953,0.43,0.489566
2010/4/17,271.572968,279.11972,0.003224,0.25,0.553135
2010/4/18,269.515808,282.412354,0.002655,0.41,0
2010/4/19,273.615692,294.285736,0.0035,1.04,0
2010/4/20,275.773621,288.572174,0.004304,0.59,0
2010/4/21,270.030884,291.494263,0.003604,0.75,0
2010/4/22,281.094116,299.216125,0.00668,1.21,0
2010/4/23,283.675385,293.461365,0.007497,0.69,0.983268
2010/4/24,273.374969,291.253021,0.004068,0.73,0
2010/4/25,275.277466,290.418671,0.004797,0.61,1.358989
2010/4/26,280.821442,294.172607,0.006351,0.8,4.377921
2010/4/27,276.111298,292.812927,0.006127,0.59,2.217486
2010/4/28,287.47995,303.688141,0.008998,1.65,1.208288
2010/4/29,284.006348,298.779327,0.008178,1.06,2.838465
2010/4/30,275.361481,290.912903,0.004591,0.68,1.365581
2010/5/1,273.563904,289.581055,0.004268,0.6,1.496325
2010/5/2,275.339905,287.18927,0.004231,0.51,0
2010/5/3,268.420532,290.624207,0.003078,0.74,0
2010/5/4,275.640137,293.470245,0.005853,0.67,0.435782
2010/5/5,279.347961,299.126099,0.00711,1.07,0
2010/5/6,277.780182,302.959534,0.007077,1.45,0.289684
2010/5/7,283.357361,295.201019,0.009366,0.53,4.956263
2010/5/8,284.612396,303.371613,0.009365,1.41,3.113449
2010/5/9,285.64975,295.441833,0.009606,0.62,11.453613
2010/5/10,277.597137,289.872955,0.004308,0.71,0
2010/5/11,273.459595,295.280731,0.004551,0.95,0.706755
2010/5/12,278.538727,290.24472,0.007631,0.26,11.617534
2010/5/13,272.713562,281.983887,0.003957,0.26,4.098876
2010/5/14,274.08374,288.544891,0.003338,0.69,0
2010/5/15,272.059937,291.55011,0.004872,0.6,3.315005
2010/5/16,282.508698,290.306671,0.008242,0.31,9.081762
2010/5/17,280.727173,295.193634,0.007986,0.63,1.885552
2010/5/18,279.806122,295.575226,0.007988,0.63,7.176015
2010/5/19,282.1362,293.830292,0.009908,0.29,6.010172
2010/5/20,276.524597,295.044525,0.004772,0.98,0
2010/5/21,277.518372,295.770844,0.005877,0.9,0
2010/5/22,279.840393,297.927216,0.00709,0.98,0
2010/5/23,280.573181,296.914032,0.008839,0.65,1.546529
2010/5/24,291.870544,298.220917,0.010105,1.14,3.50048
2010/5/25,282.700745,292.873627,0.008598,0.44,3.971748
2010/5/26,275.740906,289.860291,0.005001,0.56,0
2010/5/27,276.985352,291.084503,0.005344,0.62,0
2010/5/28,282.753174,293.768311,0.007979,0.6,9.248479
2010/5/29,283.297211,296.141235,0.007861,0.83,0.339503
2010/5/30,278.514221,295.275055,0.005415,0.96,0
2010/5/31,275.023804,296.430145,0.005706,0.91,0
2010/6/1,280.640106,296.104279,0.006888,0.87,0
2010/6/2,277.973206,298.151794,0.008185,0.77,0.401911
2010/6/3,288.841919,296.083771,0.012325,0.43,14.234073
2010/6/4,290.094666,298.226166,0.012565,0.66,6.367594
2010/6/5,288.700226,300.759094,0.011528,0.99,0
2010/6/6,283.730347,301.398254,0.0106,0.96,0
2010/6/7,288.124969,298.8974,0.01214,0.68,2.214013
2010/6/8,291.763672,302.431396,0.01357,1.07,3.627772
2010/6/9,292.879883,299.183319,0.012932,0.89,0.652546
2010/6/10,283.066284,297.066528,0.007864,0.9,0
2010/6/11,283.164368,302.225586,0.008394,1.36,0
2010/6/12,284.240723,305.966095,0.008788,1.83,0
2010/6/13,284.089233,306.399353,0.008982,1.85,0
2010/6/14,287.798706,300.803131,0.011381,0.97,9.205604
2010/6/15,286.629669,299.736206,0.010394,0.94,0.433843
2010/6/16,282.524261,295.641602,0.00854,0.66,0.298434
2010/6/17,283.775055,300.928558,0.008673,1.19,0
2010/6/18,283.159149,301.908081,0.00913,1.21,0
2010/6/19,285.144043,304.46759,0.009622,1.54,0
2010/6/20,287.296143,305.920441,0.011613,1.54,0
2010/6/21,290.295624,305.71524,0.013837,1.36,0
2010/6/22,289.858887,304.396973,0.013615,1.18,0
2010/6/23,291.227692,300.888489,0.011578,1.15,2.706538
2010/6/24,283.806946,298.07431,0.007259,1.12,0
2010/6/25,281.833984,300.75238,0.008098,1.18,0
2010/6/26,288.860535,302.785065,0.01039,1.4,1.037839
2010/6/27,282.434723,303.308228,0.008593,1.43,0
2010/6/28,285.322235,302.782349,0.010186,1.25,0.322737
2010/6/29,287.321014,308.316132,0.011439,1.93,0
2010/6/30,288.037048,306.302734,0.012572,1.5,0
2010/7/1,291.978546,304.214874,0.012288,1.49,1.560956
2010/7/2,284.892761,306.307587,0.008978,1.88,0
2010/7/3,284.328766,297.658844,0.011689,0.44,8.64928
2010/7/4,291.891296,302.657837,0.014955,0.9,2.015376
2010/7/5,293.163696,306.743896,0.014106,1.66,0.69956
2010/7/6,287.756989,303.744659,0.011802,1.25,0
2010/7/7,285.731354,303.503082,0.010648,1.29,0
2010/7/8,291.845154,297.177826,0.012663,0.66,4.188963
2010/7/9,284.608398,301.269623,0.009179,1.19,0
2010/7/10,281.130829,304.32959,0.008696,1.49,0
2010/7/11,284.8078,301.729553,0.011026,0.98,0
2010/7/12,287.595062,304.049713,0.012567,1.17,0.283724
2010/7/13,293.320557,303.503021,0.015362,1.04,3.783878
2010/7/14,289.368011,299.121216,0.014346,0.44,8.975119
2010/7/15,287.780975,303.463715,0.011271,1.29,0
2010/7/16,286.743286,303.419098,0.011012,1.27,0
2010/7/17,287.385406,304.624176,0.011042,1.46,0
2010/7/18,287.3992,304.741272,0.011101,1.46,0
2010/7/19,287.08139,308.607788,0.010644,2.08,0
2010/7/20,288.713287,309.752594,0.010993,2.31,0
2010/7/21,288.685944,301.301147,0.011703,1.03,1.682084
2010/7/22,289.700439,304.756134,0.013008,1.31,0.520505
2010/7/23,286.47525,303.54248,0.008842,1.6,0
2010/7/24,283.150635,305.125641,0.007079,1.92,0
2010/7/25,283.861328,307.314087,0.00841,2.06,0
2010/7/26,286.332306,308.188141,0.009309,2.18,0
2010/7/27,286.53775,305.341125,0.010542,1.58,0
2010/7/28,287.17865,306.077148,0.010957,1.66,0
2010/7/29,286.817902,305.030701,0.010953,1.5,0
2010/7/30,286.509674,304.527435,0.009134,1.68,0
2010/7/31,285.364471,304.645386,0.009131,1.65,0
2010/8/1,287.429779,306.532776,0.010595,1.79,0
2010/8/2,287.155975,306.455353,0.011088,1.69,0
2010/8/3,286.755127,308.021698,0.009715,2.11,0
2010/8/4,286.522186,306.343628,0.010264,1.77,1.219102
2010/8/5,287.86969,296.984039,0.014083,0.19,7.624755
2010/8/6,289.107025,300.924194,0.014526,0.59,9.504517
2010/8/7,291.019043,304.116791,0.014478,1.09,3.072142
2010/8/8,290.40332,303.566254,0.012939,1.21,0
2010/8/9,290.850739,301.239868,0.013851,0.83,9.639673
2010/8/10,293.234833,299.04541,0.014553,0.66,10.454644
2010/8/11,288.415009,297.295166,0.011976,0.56,0
2010/8/12,284.793335,301.233063,0.010003,1.07,0
2010/8/13,289.850403,305.413116,0.013423,1.35,0
2010/8/14,292.266357,306.178833,0.014357,1.47,0
2010/8/15,290.543427,307.262634,0.012898,1.74,0
2010/8/16,289.137939,303.538971,0.013498,1.05,9.815395
2010/8/17,289.560974,302.394135,0.012851,1.03,0
2010/8/18,287.213531,303.492615,0.010426,1.39,0.510064
2010/8/19,288.595581,301.580475,0.010593,1.22,0.316542
2010/8/20,289.456848,297.106232,0.012156,0.58,9.560997
2010/8/21,291.638458,301.111572,0.013745,0.88,5.015883
2010/8/22,288.207947,299.488129,0.013981,0.47,6.345268
2010/8/23,290.095551,298.295715,0.013621,0.51,4.50719
2010/8/24,288.663361,302.772339,0.011978,1.15,1.159902
2010/8/25,287.945831,300.518829,0.012278,0.81,0.535538
2010/8/26,288.122772,304.462494,0.012494,1.26,0.320535
2010/8/27,288.223602,309.379883,0.010953,2.22,0.413066
2010/8/28,287.176483,309.598724,0.010924,2.21,0
2010/8/29,288.039581,305.859253,0.013781,1.25,0
2010/8/30,291.018555,305.101532,0.015369,1.09,0
2010/8/31,290.942657,307.339508,0.012796,1.79,0
2010/9/1,288.865936,304.344147,0.012809,1.24,1.393859
2010/9/2,286.281891,303.741486,0.009299,1.55,0.286212
2010/9/3,282.351288,302.601471,0.007293,1.54,0
2010/9/4,281.874146,302.614746,0.008158,1.39,0.599446
2010/9/5,282.03476,290.699829,0.007067,0.5,0
2010/9/6,273.996643,293.18158,0.004688,0.78,0
2010/9/7,280.075714,296.4729,0.007217,0.84,0
2010/9/8,285.506805,293.988281,0.009323,0.54,0.626484
2010/9/9,278.222748,294.638855,0.006315,0.76,0
2010/9/10,278.793762,299.84021,0.006297,1.25,0
2010/9/11,284.225403,301.627594,0.008519,1.32,0
2010/9/12,286.82547,294.154846,0.010392,0.45,1.721898
2010/9/13,276.916443,294.798584,0.006442,0.71,0
2010/9/14,276.424957,297.32608,0.00685,0.85,0
2010/9/15,283.477539,293.834229,0.010896,0.2,20.61014
2010/9/16,286.702179,296.117065,0.010869,0.53,15.805459
2010/9/17,282.824738,288.827148,0.009321,0.08,11.827565
2010/9/18,277.46991,287.411743,0.005568,0.38,0
2010/9/19,273.806763,285.417023,0.004158,0.4,0
2010/9/20,273.653412,288.974487,0.004963,0.46,0
2010/9/21,277.357971,292.777374,0.00646,0.57,0.52606
2010/9/22,280.059845,292.209076,0.006688,0.58,0
2010/9/23,279.232269,292.64798,0.007014,0.54,0
2010/9/24,276.832184,289.66861,0.006402,0.36,0
2010/9/25,276.709473,292.138,0.006589,0.49,1.429114
2010/9/26,280.471375,289.251709,0.007695,0.26,6.419094
2010/9/27,278.267334,295.133026,0.008966,0.4,2.166022
2010/9/28,282.692688,295.163971,0.008568,0.62,1.965298
2010/9/29,282.106049,291.374756,0.007819,0.43,0.942387
2010/9/30,280.375244,289.507233,0.007045,0.37,1.967113
2010/10/1,278.816162,293.399689,0.006304,0.69,0
2010/10/2,278.946259,295.282288,0.006796,0.76,0
2010/10/3,279.544006,289.536804,0.00684,0.37,0
2010/10/4,273.014435,288.279694,0.003889,0.57,0
2010/10/5,272.556549,289.431763,0.003604,0.67,0
2010/10/6,275.17215,289.75882,0.004981,0.54,0
2010/10/7,282.667847,295.924316,0.007871,0.79,0.942318
2010/10/8,282.549377,292.88858,0.008572,0.44,1.26077
2010/10/9,284.575928,297.71106,0.009176,0.83,4.683551
2010/10/10,279.437897,291.482788,0.006549,0.53,0.913307
2010/10/11,274.546539,292.645538,0.004734,0.75,0
2010/10/12,277.683319,296.339691,0.006372,0.88,0
2010/10/13,278.67337,298.821777,0.006679,1.09,0
2010/10/14,279.584534,300.702118,0.006776,1.3,0
2010/10/15,280.887726,295.913239,0.008063,0.69,0.896064
2010/10/16,275.435394,295.323242,0.005281,0.89,0.645368
2010/10/17,279.521729,297.070709,0.007515,0.82,0
2010/10/18,281.943787,293.344391,0.009053,0.38,2.920479
2010/10/19,280.214417,296.50235,0.008244,0.69,0.944416
2010/10/20,280.561615,294.138214,0.007859,0.56,4.567539
2010/10/21,280.892212,292.864807,0.008931,0.32,9.435781
2010/10/22,272.77533,283.702209,0.00418,0.3,0.367776
2010/10/23,269.613464,280.944092,0.003078,0.29,0
2010/10/24,268.709686,284.287384,0.002846,0.45,0
2010/10/25,277.476807,292.115417,0.003442,0.99,0
2010/10/26,277.696838,290.080811,0.005137,0.6,0
2010/10/27,272.748016,289.834167,0.004248,0.6,0
2010/10/28,276.60022,291.467621,0.006276,0.49,3.678344
2010/10/29,281.902893,294.459015,0.008002,0.62,1.210292
2010/10/30,274.179382,286.630951,0.004713,0.38,0
2010/10/31,270.82428,285.27652,0.003315,0.46,0.632378
2010/11/1,273.099426,285.024445,0.0048,0.27,1.053084
2010/11/2,269.023254,277.656616,0.002667,0.24,0
2010/11/3,267.278748,279.111603,0.002105,0.34,0
2010/11/4,268.754974,284.823151,0.002717,0.49,0
2010/11/5,276.054108,289.606171,0.005659,0.45,0
2010/11/6,274.783051,291.545502,0.005395,0.58,0
2010/11/7,273.0979,291.545532,0.005039,0.59,0
2010/11/8,273.750305,292.69812,0.005075,0.68,0.343516
2010/11/9,275.273499,294.223969,0.004802,0.87,0
2010/11/10,276.816406,295.579926,0.004804,1.02,0.286598
2010/11/11,278.205261,294.679535,0.006286,0.77,0
2010/11/12,278.304626,291.63269,0.007372,0.38,1.560884
2010/11/13,273.710541,288.643982,0.005686,0.33,1.910612
2010/11/14,269.759857,286.467896,0.003479,0.47,0
2010/11/15,275.08432,286.259735,0.005046,0.34,0
2010/11/16,275.262695,294.836151,0.00629,0.7,3.037464
2010/11/17,270.511841,287.984711,0.004957,0.34,1.632707
2010/11/18,268.367279,283.32959,0.003327,0.33,1.903091
2010/11/19,273.785828,286.329773,0.005526,0.23,3.059046
2010/11/20,267.416626,275.05191,0.002101,0.23,0.282344
2010/11/21,272.327087,276.849152,0.002953,0.23,10.694653
2010/11/22,273.017212,286.108521,0.005479,0.21,2.426686
2010/11/23,288.50235,290.261475,0.008162,0.61,18.923891
2010/11/24,273.335846,284.296875,0.004962,0.21,0
2010/11/25,271.817047,284.602478,0.003402,0.43,0
2010/11/26,270.705841,288.536316,0.004839,0.39,10.15285
2010/11/27,273.248688,281.555298,0.003345,0.35,0
2010/11/28,270.256714,277.656433,0.00316,0.18,0
2010/11/29,271.728729,284.123474,0.00308,0.46,0
2010/11/30,270.13446,277.02887,0.002923,0.2,0
2010/12/1,267.062073,273.602081,0.002388,0.14,0
2010/12/2,265.457794,277.076599,0.002035,0.26,0
2010/12/3,266.791595,278.562927,0.002253,0.29,0
2010/12/4,267.1492,275.512268,0.002722,0.14,0
2010/12/5,269.601318,278.214722,0.002859,0.24,0.366318
2010/12/6,270.091858,277.526367,0.003396,0.14,0
2010/12/7,273.75177,280.496063,0.00442,0.16,2.423433
2010/12/8,265.928284,274.208405,0.00239,0.14,1.562371
2010/12/9,263.778931,270.675598,0.00161,0.16,0
2010/12/10,264.78241,271.326477,0.001792,0.16,0
2010/12/11,260.093231,272.489655,0.001419,0.19,0
2010/12/12,264.604401,277.297394,0.00155,0.33,0
2010/12/13,266.376312,273.451233,0.002313,0.14,0
2010/12/14,266.323059,276.249512,0.002488,0.18,0
2010/12/15,268.803955,281.423248,0.003035,0.3,0
2010/12/16,271.836548,277.015808,0.00307,0.21,1.293495
2010/12/17,268.527618,274.426025,0.002929,0.1,0
2010/12/18,267.472412,273.943726,0.00247,0.15,0
2010/12/19,270.768829,284.770691,0.00476,0.21,12.232037
2010/12/20,273.215973,284.814178,0.005371,0.17,3.341152
2010/12/21,267.722839,275.698425,0.002638,0.17,0
2010/12/22,265.424713,271.364319,0.002093,0.12,0
2010/12/23,262.798615,270.079041,0.001656,0.13,0
